"Time","Cam Hue (N3 - NZ)","Cam Sat (N3 - NZ)","Cam Val (N3 - NZ)","Air Hum (N3 - NZ)","Air Temp (N3 - NZ)","Soil Hum (N3 - NZ)","Soil Temp (N3 - NZ)","Soil Nit (N3 - NZ)","Soil Pho (N3 - NZ)","Soil Pot (N3 - NZ)","Soil pH (N3 - NZ)","Soil EC (N3 - NZ)"
1721862000000,,,,,,,,,,,,
1721862600000,,,,,,,,,,,,
1721863200000,,,,,,,,,,,,
1721863800000,,,,,,,,,,,,
1721864400000,,,,,,,,,,,,
1721865000000,,,,,,,,,,,,
1721865600000,,,,,,,,,,,,
1721866200000,,,,,,,,,,,,
1721866800000,,,,,,,,,,,,
1721867400000,,,,,,,,,,,,
1721868000000,,,,,,,,,,,,
1721868600000,,,,,,,,,,,,
1721869200000,,,,,,,,,,,,
1721869800000,,,,,,,,,,,,
1721870400000,,,,,,,,,,,,
1721871000000,,,,,,,,,,,,
1721871600000,,,,,,,,,,,,
1721872200000,,,,,,,,,,,,
1721872800000,,,,,,,,,,,,
1721873400000,,,,,,,,,,,,
1721874000000,,,,,,,,,,,,
1721874600000,,,,,,,,,,,,
1721875200000,,,,,,,,,,,,
1721875800000,,,,,,,,,,,,
1721876400000,,,,,,,,,,,,
1721877000000,,,,,,,,,,,,
1721877600000,,,,,,,,,,,,
1721878200000,,,,,,,,,,,,
1721878800000,,,,,,,,,,,,
1721879400000,,,,,,,,,,,,
1721880000000,,,,,,,,,,,,
1721880600000,,,,,,,,,,,,
1721881200000,,,,,,,,,,,,
1721881800000,,,,,,,,,,,,
1721882400000,,,,,,,,,,,,
1721883000000,,,,,,,,,,,,
1721883600000,,,,,,,,,,,,
1721884200000,,,,,,,,,,,,
1721884800000,,,,,,,,,,,,
1721885400000,,,,,,,,,,,,
1721886000000,,,,,,,,,,,,
1721886600000,,,,,,,,,,,,
1721887200000,,,,,,,,,,,,
1721887800000,,,,,,,,,,,,
1721888400000,,,,,,,,,,,,
1721889000000,,,,,,,,,,,,
1721889600000,,,,,,,,,,,,
1721890200000,,,,,,,,,,,,
1721890800000,,,,,,,,,,,,
1721891400000,,,,,,,,,,,,
1721892000000,,,,,,,,,,,,
1721892600000,,,,,,,,,,,,
1721893200000,,,,,,,,,,,,
1721893800000,,,,,,,,,,,,
1721894400000,,,,,,,,,,,,
1721895000000,,,,,,,,,,,,
1721895600000,,,,,,,,,,,,
1721896200000,,,,,,,,,,,,
1721896800000,,,,,,,,,,,,
1721897400000,,,,,,,,,,,,
1721898000000,,,,,,,,,,,,
1721898600000,,,,,,,,,,,,
1721899200000,,,,,,,,,,,,
1721899800000,,,,,,,,,,,,
1721900400000,,,,,,,,,,,,
1721901000000,,,,,,,,,,,,
1721901600000,,,,,,,,,,,,
1721902200000,,,,,,,,,,,,
1721902800000,,,,,,,,,,,,
1721903400000,,,,,,,,,,,,
1721904000000,,,,,,,,,,,,
1721904600000,,,,,,,,,,,,
1721905200000,,,,,,,,,,,,
1721905800000,,,,,,,,,,,,
1721906400000,,,,,,,,,,,,
1721907000000,,,,,,,,,,,,
1721907600000,,,,,,,,,,,,
1721908200000,,,,,,,,,,,,
1721908800000,,,,,,,,,,,,
1721909400000,,,,,,,,,,,,
1721910000000,,,,,,,,,,,,
1721910600000,,,,,,,,,,,,
1721911200000,,,,,,,,,,,,
1721911800000,,,,,,,,,,,,
1721912400000,,,,,,,,,,,,
1721913000000,,,,,,,,,,,,
1721913600000,,,,,,,,,,,,
1721914200000,,,,,,,,,,,,
1721914800000,,,,,,,,,,,,
1721915400000,,,,,,,,,,,,
1721916000000,,,,,,,,,,,,
1721916600000,,,,,,,,,,,,
1721917200000,,,,,,,,,,,,
1721917800000,,,,,,,,,,,,
1721918400000,,,,,,,,,,,,
1721919000000,,,,,,,,,,,,
1721919600000,,,,,,,,,,,,
1721920200000,,,,,,,,,,,,
1721920800000,,,,,,,,,,,,
1721921400000,,,,,,,,,,,,
1721922000000,,,,,,,,,,,,
1721922600000,,,,,,,,,,,,
1721923200000,,,,,,,,,,,,
1721923800000,,,,,,,,,,,,
1721924400000,,,,,,,,,,,,
1721925000000,,,,,,,,,,,,
1721925600000,,,,,,,,,,,,
1721926200000,,,,,,,,,,,,
1721926800000,,,,,,,,,,,,
1721927400000,,,,,,,,,,,,
1721928000000,,,,,,,,,,,,
1721928600000,,,,,,,,,,,,
1721929200000,,,,,,,,,,,,
1721929800000,,,,,,,,,,,,
1721930400000,,,,,,,,,,,,
1721931000000,,,,,,,,,,,,
1721931600000,,,,,,,,,,,,
1721932200000,,,,,,,,,,,,
1721932800000,,,,,,,,,,,,
1721933400000,,,,,,,,,,,,
1721934000000,,,,,,,,,,,,
1721934600000,,,,,,,,,,,,
1721935200000,,,,,,,,,,,,
1721935800000,,,,,,,,,,,,
1721936400000,,,,,,,,,,,,
1721937000000,,,,,,,,,,,,
1721937600000,,,,,,,,,,,,
1721938200000,,,,,,,,,,,,
1721938800000,,,,,,,,,,,,
1721939400000,,,,,,,,,,,,
1721940000000,,,,,,,,,,,,
1721940600000,,,,,,,,,,,,
1721941200000,,,,,,,,,,,,
1721941800000,,,,,,,,,,,,
1721942400000,,,,,,,,,,,,
1721943000000,,,,,,,,,,,,
1721943600000,,,,,,,,,,,,
1721944200000,,,,,,,,,,,,
1721944800000,,,,,,,,,,,,
1721945400000,,,,,,,,,,,,
1721946000000,,,,,,,,,,,,
1721946600000,,,,,,,,,,,,
1721947200000,,,,,,,,,,,,
1721947800000,,,,,,,,,,,,
1721948400000,,,,,,,,,,,,
1721949000000,,,,,,,,,,,,
1721949600000,,,,,,,,,,,,
1721950200000,,,,,,,,,,,,
1721950800000,,,,,,,,,,,,
1721951400000,,,,,,,,,,,,
1721952000000,,,,,,,,,,,,
1721952600000,,,,,,,,,,,,
1721953200000,,,,,,,,,,,,
1721953800000,,,,,,,,,,,,
1721954400000,,,,,,,,,,,,
1721955000000,,,,,,,,,,,,
1721955600000,,,,,,,,,,,,
1721956200000,,,,,,,,,,,,
1721956800000,7,4,3,37.7,28.7,25,19.4,57,28.7,113,0.4,207
1721957400000,7,4,3,37.69,28.68,25,19.4,57,28.68,113,0.4,207
1721958000000,7,4,3,37.75,28.71,24.9,19.4,57,28.71,113,0.4,207
1721958600000,7,4,3,37.76,28.75,25,19.4,57,28.75,113,0.4,207
1721959200000,7,4,3,37.78,28.72,25,19.5,57,28.72,113,0.4,207
1721959800000,7,4,3,37.76,28.69,25.1,19.5,57,28.69,113,0.4,207
1721960400000,7,4,3,37.75,28.73,25,19.5,57,28.73,113,0.4,207
1721961000000,7,4,3,37.78,28.77,25,19.6,57,28.77,113,0.4,207
1721961600000,7,4,3,37.79,28.8,25,19.6,57,28.8,113,0.4,207
1721962200000,7,4,3,37.83,28.9,25,19.6,57,28.9,113,0.4,207
1721962800000,7,4,3,37.97,28.99,25,19.6,57,28.99,113,0.4,207
1721963400000,7,4,3,37.96,29.14,24.9,19.7,57,29.14,113,0.4,207
1721964000000,7,4,3,38.08,29.21,25,19.7,57,29.21,114,0.4,208
1721964600000,7,4,3,38.19,29.32,24.9,19.8,57,29.32,114,0.4,208
1721965200000,7,4,3,38.2,29.46,25,19.9,57,29.46,114,0.4,208
1721965800000,7,4,3,38.09,29.36,24.9,19.9,57,29.36,114,0.4,208
1721966400000,7,4,3,38.01,29.28,24.9,19.9,57,29.28,114,0.4,208
1721967000000,7,4,3,37.93,29.25,24.9,19.9,57,29.25,114,0.4,208
1721967600000,7,4,3,37.89,29.16,24.9,19.9,57,29.16,114,0.4,208
1721968200000,,,,,,,,,,,,
1721968800000,7,4,3,37.85,28.92,24.8,19.8,57,28.92,114,0.4,208
1721969400000,7,4,3,37.74,28.82,24.9,19.8,57,28.82,114,0.4,208
1721970000000,7,4,3,37.58,28.66,24.9,19.8,57,28.66,114,0.4,208
1721970600000,7,4,3,37.55,28.49,25,19.7,57,28.49,114,0.4,208
1721971200000,7,4,3,37.46,28.33,24.9,19.7,57,28.33,114,0.4,208
1721971800000,7,4,3,37.8,28.05,24.9,19.6,57,28.05,113,0.4,207
1721972400000,7,4,3,37.94,27.63,24.9,19.5,57,27.63,113,0.4,207
1721973000000,7,4,3,37.94,27.13,25,19.3,57,27.13,113,0.4,207
1721973600000,7,4,3,38.09,26.76,24.9,19.1,56,26.76,113,0.4,206
1721974200000,7,4,3,38.15,26.47,24.9,18.9,56,26.47,113,0.4,206
1721974800000,7,4,3,38.26,26.22,24.9,18.7,56,26.22,113,0.4,206
1721975400000,7,4,3,38.23,26,24.9,18.6,56,26,112,0.4,205
1721976000000,7,4,3,38.33,25.8,24.8,18.4,56,25.8,112,0.4,205
1721976600000,7,4,3,38.43,25.61,24.9,18.3,55,25.61,112,0.4,204
1721977200000,7,4,3,38.46,25.46,24.9,18.1,55,25.46,112,0.4,204
1721977800000,7,4,3,38.61,25.24,25,18,55,25.24,112,0.4,204
1721978400000,7,4,3,38.68,25.18,24.9,17.9,55,25.18,111,0.3,203
1721979000000,7,4,3,38.71,25.07,24.9,17.7,55,25.07,111,0.3,203
1721979600000,7,4,3,38.77,25.01,24.9,17.6,55,25.01,111,0.3,203
1721980200000,7,4,3,38.76,24.93,24.9,17.5,54,24.93,111,0.3,202
1721980800000,7,4,3,38.76,24.85,24.9,17.3,54,24.85,111,0.3,202
1721981400000,7,4,3,38.76,24.72,25,17.2,54,24.72,111,0.3,202
1721982000000,7,4,3,38.77,24.64,24.8,17.1,54,24.64,111,0.3,202
1721982600000,7,4,3,38.79,24.54,24.9,17.1,54,24.54,110,0.3,201
1721983200000,7,4,3,38.75,24.48,24.9,16.9,54,24.48,110,0.3,201
1721983800000,7,4,3,38.66,24.4,25,16.8,54,24.4,110,0.3,201
1721984400000,7,4,3,38.64,24.25,24.9,16.8,54,24.25,110,0.3,201
1721985000000,7,4,3,38.55,24.17,24.9,16.6,54,24.17,110,0.3,201
1721985600000,7,4,3,38.54,24.06,24.9,16.5,53,24.06,110,0.3,200
1721986200000,7,4,3,38.53,23.95,24.9,16.5,53,23.95,110,0.3,200
1721986800000,7,4,3,38.47,23.83,24.9,16.3,53,23.83,110,0.3,200
1721987400000,7,4,3,38.43,23.75,24.9,16.3,53,23.75,110,0.3,200
1721988000000,7,4,3,38.46,23.6,25,16.2,53,23.6,109,0.3,199
1721988600000,7,4,3,38.44,23.59,24.9,16.1,53,23.59,109,0.3,199
1721989200000,7,4,3,38.37,23.54,25,16,53,23.54,109,0.3,199
1721989800000,7,4,3,38.28,23.47,24.9,15.9,53,23.47,109,0.3,199
1721990400000,7,4,3,38.29,23.41,24.8,15.9,53,23.41,109,0.3,199
1721991000000,7,4,3,38.29,23.37,25,15.7,52,23.37,108,0.2,198
1721991600000,7,4,3,38.19,23.32,25,15.7,52,23.32,108,0.2,198
1721992200000,7,4,3,38.23,23.22,24.9,15.6,52,23.22,108,0.2,198
1721992800000,7,4,3,38.22,23.21,25.1,15.6,52,23.21,108,0.2,198
1721993400000,7,4,3,38.16,23.18,24.9,15.5,52,23.18,108,0.2,198
1721994000000,7,4,3,38.14,23.09,24.9,15.4,52,23.09,108,0.2,197
1721994600000,7,4,3,38.18,23.04,24.9,15.4,52,23.04,108,0.2,197
1721995200000,7,4,3,38.09,23.02,25,15.3,52,23.02,108,0.2,197
1721995800000,7,4,3,38.1,23.02,24.9,15.3,52,23.02,108,0.2,197
1721996400000,7,4,3,38.08,23,24.9,15.2,52,23,108,0.2,197
1721997000000,7,4,3,38.05,22.96,25,15.2,52,22.96,108,0.2,197
1721997600000,7,4,3,38.08,22.93,25,15.1,52,22.93,108,0.2,197
1721998200000,7,4,3,38.1,22.9,25,15.1,51,22.9,107,0.2,196
1721998800000,7,4,3,38.02,22.91,25,15,51,22.91,107,0.2,196
1721999400000,7,4,3,37.92,22.9,25,15,51,22.9,107,0.2,196
1722000000000,7,4,3,37.88,22.83,25,14.8,51,22.83,107,0.2,196
1722000600000,7,4,3,37.94,22.71,24.9,14.8,51,22.71,107,0.2,196
1722001200000,7,4,3,37.9,22.61,25,14.8,51,22.61,107,0.2,196
1722001800000,7,4,3,37.85,22.56,24.9,14.7,51,22.56,107,0.2,196
1722002400000,7,4,3,37.79,22.48,25,14.7,51,22.48,107,0.2,196
1722003000000,7,4,3,37.83,22.3,24.9,14.6,51,22.3,107,0.2,195
1722003600000,7,4,3,37.85,22.25,24.9,14.6,51,22.25,107,0.2,195
1722004200000,7,4,3,37.79,22.26,24.9,14.5,51,22.26,107,0.2,195
1722004800000,7,4,3,37.72,22.24,24.9,14.5,51,22.24,107,0.2,195
1722005400000,7,4,3,37.75,22.2,25,14.4,51,22.2,107,0.2,195
1722006000000,7,4,3,37.69,22.19,25,14.4,51,22.19,107,0.2,195
1722006600000,7,4,3,37.72,22.19,24.9,14.4,51,22.19,107,0.2,195
1722007200000,7,4,3,37.66,22.15,24.9,14.4,51,22.15,107,0.2,195
1722007800000,7,4,3,37.69,22.14,24.9,14.3,51,22.14,107,0.2,195
1722008400000,7,4,3,37.72,22.07,25.1,14.3,51,22.07,107,0.2,195
1722009000000,7,4,3,37.67,22.09,24.9,14.2,50,22.09,106,0.2,194
1722009600000,7,4,3,37.68,22.09,24.9,14.3,50,22.09,106,0.2,194
1722010200000,7,4,3,37.68,22.07,25,14.2,50,22.07,106,0.2,194
1722010800000,7,4,3,37.66,22.05,24.9,14.2,50,22.05,106,0.2,194
1722011400000,7,4,3,37.61,22.09,25,14.2,50,22.09,106,0.2,194
1722012000000,7,4,3,37.61,22.1,25,14.2,50,22.1,106,0.2,194
1722012600000,7,4,3,37.62,22.08,25,14.2,50,22.08,106,0.2,194
1722013200000,7,4,3,37.56,22.1,24.9,14.2,50,22.1,106,0.2,194
1722013800000,7,4,3,37.58,22.1,24.9,14.1,50,22.1,106,0.2,194
1722014400000,7,4,3,37.66,22.07,24.9,14.1,50,22.07,106,0.2,194
1722015000000,7,4,3,37.71,22.06,24.9,14.1,50,22.06,106,0.2,194
1722015600000,7,4,3,37.67,22.1,24.9,14.1,50,22.1,106,0.2,194
1722016200000,7,4,3,37.72,22.08,24.9,14.1,50,22.08,106,0.2,194
1722016800000,7,4,3,37.76,22.06,24.9,14.1,50,22.06,106,0.2,194
1722017400000,7,4,3,37.84,22.07,24.9,14,50,22.07,106,0.2,194
1722018000000,7,4,3,37.79,22.06,25,14,50,22.06,106,0.2,194
1722018600000,7,4,3,37.77,22.03,24.9,14,50,22.03,106,0.2,194
1722019200000,7,4,3,37.87,21.98,24.9,14,50,21.98,106,0.2,194
1722019800000,7,4,3,37.8,21.96,24.9,14,50,21.96,106,0.2,194
1722020400000,7,4,3,37.73,21.93,24.9,13.9,50,21.93,106,0.1,193
1722021000000,7,4,3,37.77,21.89,24.9,13.9,50,21.89,106,0.1,193
1722021600000,7,4,3,37.84,21.92,24.9,13.9,50,21.92,106,0.1,193
1722022200000,7,4,3,37.86,21.95,24.9,13.9,50,21.95,106,0.1,193
1722022800000,7,4,3,37.9,22,24.9,13.9,50,22,106,0.1,193
1722023400000,7,4,3,38.03,22.05,24.9,13.9,50,22.05,106,0.1,193
1722024000000,7,4,3,38.02,22.09,24.8,13.9,50,22.09,106,0.1,193
1722024600000,7,4,3,38.19,22.19,24.9,14,50,22.19,106,0.1,193
1722025200000,7,4,3,38.19,22.26,24.9,14,50,22.26,106,0.1,193
1722025800000,7,4,3,38.19,22.3,24.9,14,50,22.3,106,0.1,193
1722026400000,7,4,3,38.4,22.34,24.9,14,50,22.34,106,0.2,194
1722027000000,7,4,3,38.51,22.48,24.9,14,50,22.48,106,0.2,194
1722027600000,7,4,3,38.55,22.63,24.9,14.1,50,22.63,106,0.2,194
1722028200000,7,4,3,38.6,22.77,24.9,14.2,50,22.77,106,0.2,194
1722028800000,7,4,3,38.69,22.8,24.9,14.2,50,22.8,106,0.2,194
1722029400000,7,4,3,38.82,22.95,24.9,14.3,50,22.95,106,0.2,194
1722030000000,7,4,3,39.05,23.14,24.8,14.4,50,23.14,106,0.2,194
1722030600000,7,4,3,38.94,23.3,24.8,14.5,50,23.3,106,0.2,194
1722031200000,7,4,3,39.08,23.43,24.9,14.6,51,23.43,107,0.2,195
1722031800000,7,4,3,39.23,23.46,24.8,14.7,51,23.46,107,0.2,195
1722032400000,7,4,3,39.28,23.62,24.9,14.8,51,23.62,107,0.2,195
1722033000000,7,4,3,39.45,23.76,24.9,14.9,51,23.76,107,0.2,195
1722033600000,7,4,3,39.58,23.95,24.8,15.1,51,23.95,107,0.2,195
1722034200000,7,4,3,39.73,24.14,24.7,15.2,51,24.14,107,0.2,196
1722034800000,7,4,3,39.8,24.27,24.8,15.4,51,24.27,107,0.2,196
1722035400000,7,4,3,39.87,24.41,24.9,15.5,51,24.41,107,0.2,196
1722036000000,7,4,3,39.99,24.59,24.6,15.6,52,24.59,108,0.2,197
1722036600000,7,4,3,40.1,24.73,24.7,15.7,52,24.73,108,0.2,197
1722037200000,7,4,3,40.27,25.02,24.7,15.9,52,25.02,108,0.2,197
1722037800000,7,4,3,40.34,25.2,24.8,16,52,25.2,108,0.2,197
1722038400000,7,4,3,40.25,25.27,24.7,16.2,52,25.27,108,0.2,198
1722039000000,7,4,3,40.5,25.34,24.7,16.3,52,25.34,108,0.2,198
1722039600000,7,4,3,40.87,25.56,24.6,16.5,52,25.56,108,0.2,198
1722040200000,7,4,3,40.6,25.62,24.6,16.6,52,25.62,108,0.2,198
1722040800000,7,4,3,40.53,25.51,24.7,16.6,52,25.51,108,0.2,198
1722041400000,7,4,3,40.46,25.37,24.6,16.7,52,25.37,108,0.2,198
1722042000000,7,4,3,40.47,25.26,24.6,16.7,52,25.26,108,0.2,198
1722042600000,7,4,3,40.55,25.19,24.6,16.7,52,25.19,108,0.2,198
1722043200000,7,4,3,40.53,25.15,24.5,16.7,52,25.15,108,0.2,198
1722043800000,7,4,3,40.6,25.13,24.8,16.7,52,25.13,108,0.2,198
1722044400000,7,4,3,40.59,25.09,24.6,16.7,52,25.09,108,0.2,198
1722045000000,7,4,3,40.5,25.13,24.7,16.7,52,25.13,108,0.2,198
1722045600000,7,4,3,40.51,25.2,24.5,16.8,52,25.2,108,0.2,198
1722046200000,7,4,3,40.52,25.26,24.5,16.8,52,25.26,108,0.2,198
1722046800000,7,4,3,40.51,25.4,24.5,16.8,52,25.4,108,0.2,198
1722047400000,7,4,3,40.7,25.54,24.5,16.9,52,25.54,108,0.2,198
1722048000000,7,4,3,41.01,25.8,24.5,17.1,53,25.8,109,0.3,199
1722048600000,7,4,3,41.17,26.03,24.5,17.3,53,26.03,109,0.3,199
1722049200000,7,4,3,41.2,26.15,24.5,17.4,53,26.15,109,0.3,199
1722049800000,7,4,3,40.94,26.01,24.6,17.5,53,26.01,109,0.3,199
1722050400000,7,4,3,40.86,25.85,24.4,17.5,53,25.85,109,0.3,199
1722051000000,7,4,3,40.85,25.64,24.4,17.5,53,25.64,109,0.3,199
1722051600000,7,4,3,40.74,25.46,24.4,17.4,53,25.46,109,0.3,199
1722052200000,7,4,3,40.73,25.28,24.4,17.3,53,25.28,109,0.3,199
1722052800000,7,4,3,40.68,25.18,24.4,17.3,53,25.18,109,0.3,199
1722053400000,7,4,3,40.72,25.15,24.4,17.2,52,25.15,108,0.2,198
1722054000000,7,4,3,40.67,25.07,24.4,17.2,52,25.07,108,0.2,198
